#OpDet OpChannel  X	 Y	 Z
0      4	  2.645	 -28.625 990.356
1      2	  2.682  27.607	 989.712
2      5	  2.324	 -56.514 951.865
3      0	  2.458	 55.313	 951.861
4      6	  2.041	 -56.309 911.939
5      1	  2.265	 55.822	 911.066
6      3	  1.923	 -0.722	 865.598
7      9	  1.795	 -0.502	 796.208
8      11	  1.495	 -56.284 751.905
9      7	  1.559	 55.625	 751.884
10     12	  1.487	 -56.408 711.274
11     8	  1.438	 55.8	 711.073
12     10	  1.475	 -0.051	 664.203
13     15	  1.448	 -0.549	 585.284
14     13	  1.226	 55.822	 540.929
15     17	  1.479	 -56.205 540.616
16     18	  1.505	 -56.323 500.221
17     14	  1.116	 55.771	 500.134
18     16	  1.481	 -0.875	 453.096
19     21	  1.014	 -0.706	 373.839
20     23	  1.451	 -57.022 328.341
21     19	  0.913	 54.693	 328.212
22     20	  0.682	 54.646	 287.976
23     24	  1.092	 -56.261 287.639
24     22	  0.949	 -0.829	 242.014
25     28	  0.658	 -0.303	 173.743
26     25	  0.703	 55.249	 128.355
27     30	  0.8211 -56.203 128.179
28     31	  0.862	 -56.615 87.8695
29     26	  0.558	 55.249	 87.7605
30     27	  0.665	 27.431	 51.1015
31     29	  0.947	 -28.576 50.4745
